vowels,name,link,subtitle,blurb,AskDmitri
AEIOU,Charles Kimbrough,https://en.wikipedia.org/wiki/Charles_Kimbrough,"US Actor, <i>Murphy Brown</i>","Starred on <i>Murphy Brown</i> with Candice Bergen, whose late husband was <b>Louis Malle</b>. He won a Tony Award® and met his wife Beth Howland (Vera from TV's <i>Alice</i>) in the original cast of <i>Company</i>, making him one of three Sondheim Broadway performers on our list.", AEIOU Charles Kimbrough 83 Alexis Nour 74 James Whitbourn 72 Lambert-Thiboust 72 Charles Wintour 71
AEIUO,Alexis DuPont,https://en.wikipedia.org/wiki/Alexis_Dupont,19th-century French tenor,"Alexis Dupont was a noted operatic tenor of his time, originating roles by Rossini and... eh he's a little boring but it's a tough slot to fill.", AEIUO Valentin Glushko 89 Alfred I. du Pont 87 Alexi Murdoch 84 Andrei Bushkov 80 Andrei Shkuro 77 Takeshi Shudo (Pokemon movies)
AEOIU,Walter Gropius,https://en.wikipedia.org/wiki/Walter_Gropius,German architect,"Founded the Bauhaus school of design, where he taught supervocalic spy and bon vivant <b>Edith Tudor-Hart</b> among others. His most famous work is <b>The Gropiusstadt</b> in Berlin.", AEOIU Walter Gropius 98 Mark Pretorius 57 Anne Hollinghurst 55 Pavel Voicu 49 Charles Bolsius 42
AEOUI,Father Coughlin,https://en.wikipedia.org/wiki/Charles_Coughlin,1930s priest,"Used radio to spread his message of ""Social Justice"", a term he <b>popularized</b>. And if ""real names only"" are allowed, well, his is <b>Charles</b>, which also works for this slot.", AEOUI Charles Coughlin 96 Alberto Burri 95 Alberto Puig 95 Kane Kosugi 87 Francesco Quinn 86
AEUIO,Anne Hutchinson,https://en.wikipedia.org/wiki/Anne_Hutchinson,Early American religious advocate,"Held firm that people could be saved by the Holy Spirit, but not by ""works"", causing the Antinomian Controversy in 17th-century Boston.", AEUIO Anne Hutchinson 99 Dave Ulliott 90 James Hutchinson 90 Abel Trujillo 88 Andrew Murrison 87
AEUOI,Ja'Net DuBois,https://en.wikipedia.org/wiki/Ja%27Net_DuBois,"US Actress, <i>Good Times</i>","She won our hearts with her neighborly sass as Willona on <i>Good Times</i>, her apostrophe, and for singing and writing the classic <i>Jeffersons</i> theme. She edges out barfly <b>Charles Bukowski</b> and <b>Manfred S. Lubowitz</b>—aka Manfred Mann—at 16 letters the longest supervocalic with no repeated letters.", AEUOI Charles Bukowski 100 Charles Dutoit 99 Ja'Net DuBois 90 Matthew J. Bruccoli 76 Matthew Hudson-Smith 75
AIEOU,Annie Proulx,https://en.wikipedia.org/wiki/Annie_Proulx,"US Author, <i>The Shipping News</i>","Also wrote the short story <i>Brokeback Mountain</i>. Even though she sometimes goes by ""E. Annie Proulx"", we cannot quit her.", AIEOU Annie Proulx 92 Daniel Sjolund 86 Archie Stout 85 Charlie Hough 85 Rafik Djebbour 81
AIEUO,Alice Munro,https://en.wikipedia.org/wiki/Alice_Munro,Canadian short story writer,"The gravitas of <b>Alice Munro</b>'s Nobel Prize in Literature earns her the spot over the name appeal of baseball's <b>Van Lingle Mungo</b>. Former late-night host <b>Craig Ferguson</b>, sorry to say, has neither.", AIEUO Craig Ferguson 99 Alice Munro 98 Patrick Ferguson 92 Alice Fulton 90 Daniel Hudson 90
AIOEU,Martin Brodeur,https://en.wikipedia.org/wiki/Martin_Brodeur,NHL goalie 1991–2003,"The all-time NHL wins leader, <b>Martin Brodeur</b> spent 21 seasons in goal for the New Jersey Devils, finishing his career with 7 games as the <b>Blues' goalie</b>. He appeared in net opposite <b>Richard Boucher</b> and John <b>Vanbiesbrouck</b> among others.", AIOEU Martin Brodeur 99 Battiscombe Gunn 85 Marin Sorescu 79 Baggio Leung 70 Ali Ozgenturk 61
AIOUE,David Souter,https://en.wikipedia.org/wiki/David_Souter,US Supreme Court Justice,"Though the former Supreme Court justice gets the nod, Oscar winner <b>David O. Russell</b>, and name favorite <b>Plaxico Burress</b> are strong alternates. The AIOUE ordering is the most fertile for overall ""notability"", as defined by our scoring system.", AIOUE Francis Poulenc 100 David O. Russell 98 David Souter 98 Madison Hubbell 98 Plaxico Burress 96
AIUEO,David Huddleston,https://en.wikipedia.org/wiki/David_Huddleston,"US Actor, <i>The Big Lebowski</I>","He played <i>The Big Lebowski</i>'s <b>titular role</b> as well as the mayor of Rock Ridge in <i>Blazing Saddles</i> (""Not only was that authentic frontier gibberish..."")—two small but cherished American film roles. ", AIUEO Francis Hutcheson 97 David Huddleston 92 Mark di Suvero 92 David Guterson 75 Rainulf Drengot 74
AIUOE,Patti LuPone,https://en.wikipedia.org/wiki/Patti_LuPone,Tony-winning actress,"<b>Patti Lupone</b> won the 1979 Tony for Best Actress in a Musical for <i>Evita</i> the same year <b>Len Cariou</b> won Best Actor for <i>Sweeney Todd</i>. She also later won for a <i>Sweeney Todd</i> revivial, and, in 2020, performed the <b>Ladies Who Lunch</b> in a Broadway revival of <i>Company</i>.", AIUOE Patti LuPone 100 Marius Jonker 80 Patrick Cutrone 78 Franciscus Donders 77 David Burrowes 76
AOEIU,Flat-Top the Brick Truck,https://starlightexpressmusical.fandom.com/wiki/Flat-Top,<i>Starlight Express</i> train,"No, Andrew LLoyd Weber's singing train is technically not human—but he is very nearly a ""Perfect 5""—a supervocalic with five words, each with one vowel. So, we accommodate. Dutch Latin scholar <b>Macrodpedius</b> is a close second on name-coolness alone.", AOEIU Adolf Fredrik Munck 72 Arnold Eidus 66 Macropedius 63 Jakob Sveistrup 58 Jacob Metius 56 + Flat-Top the Brick Truck
AOEUI,Jack Joseph Puig,https://en.wikipedia.org/wiki/Jack_Joseph_Puig,US music producer,"Despite his dozens of producing credits, his work on Jellyfish's debut album gets <b>Jack Joseph Puig</b> the slot. Track 3—<i>The King Is Half-Undressed</i>—is not supervocalic, but you should check it out anyway.", AOEUI Alphonse Juin 96 Jack Joseph Puig 93 Aldo Bertuzzi 76 Franjo Greguric 73 Marco Ferruzzi 69
AOIEU,Françoise Dürr,https://en.wikipedia.org/wiki/Françoise_Dürr,French tennis champion,Being the last French woman to win the French Open until Mary Pierce in 2000 solidifies <b>Françoise Dürr</b>'s supremacy over this slot., AOIEU Francoise Durr 98 Francoiz Breut 56 Andoni Cedrun 54 Caroline Rush 37 Alois Delug 36
AOIUE,Carson Smith McCullers,https://en.wikipedia.org/wiki/Carson_McCullers,US author,"<b>Carson Smith McCullers</b> is the author of <i>The Heart Is a Lonely Hunter</i> and <i>Member of the Wedding</i>, and—at 20 letters—is the longest well-known supervocalic person.", AOIUE Francois Rude 93 Marco Pique 91 Alois Brunner 90 Francois Cluzet 90 Francois Furet 90
AOUEI,Paco Underhill,https://en.wikipedia.org/wiki/Paco_Underhill,US economic psychologist,His <i>Why We Buy</i> is a seminal look at the mind of the American consumer., AOUEI Carlos Quentin 91 (MLB) Cao Xueqin 87 Carlos Uresti 81 Anton Kuerti 80 Adolf Luderitz 74 Jacob Summerlin
AOUIE,Arlo Guthrie,https://en.wikipedia.org/wiki/Arlo_Guthrie,US folk singer,"Folksy <i>Alice's Restaurant</i> singer, and son of Woody Guthrie. It will take more than <i>Rugrats</i> voice artist <b>Kath Soucie</b> to knock off his AOUIE crown.", AOUIE Arlo Guthrie 99 Kath Soucie 98 La Fouine 95 Dan Cloutier 91 Jackson Guice 91
AUEIO,Samuel Wilson,https://en.wikipedia.org/wiki/Samuel_Wilson,"US meatpacker; ""Uncle Sam""","The model for ""Uncle Sam"" is one of the more ubiquitous visual figures in US history, though Tour de France winner <b>Laurent Fignon</b> and physicist <b>Arthur Eddington</b> are contenders.", AUEIO Marcus Ericsson 99 Arthur Eddington 98 Laurent Fignon 96 Paul Pelliot 93 Jacques Villon 92
AUEOI,Claude Bolling,https://en.wikipedia.org/wiki/Claude_Bolling,French pianist,"The piano and flute compositions and prolific scoring career of <b>Claude Bolling</b> earn him the spot over <b>Samuel Goldfish</b>—an anglicization of <b>studio head</b> Samuel Goldwyn's name, which was originally Szmuel Gelbfisz.", AUEOI Marcus Trescothick 98 Paul Preboist 90 Claude Thornhill 86 Lauren Collins 84 Raul Leoni 84
AUIEO,Astrud Gilberto,https://en.wikipedia.org/wiki/Astrud_Gilberto,Brazilian singer,"Owing her fame to an impromptu appearance on her husband Joao's recording session, where she was the only one in the room who could muster any English, <b>Astrud Gilberto</b>'s silky delivery made <i>Girl from Ipanema</i> a classic and gives her the AUIEO slot.", AUIEO Markus Winkelhock 98 Maurice Strong 91 Maurice Horn 89 Astrud Gilberto 88 Maurice Dobb 87
AUIOE,Austin Powers,https://en.wikipedia.org/wiki/Austin_Powers_(character),International Man of Mystery,"The shagadelic British spy leads the way for the AUIOE slot, but the Scrabble-heavy <b>Jacquizz Rodgers</b> makes the All-Time Name list. Yeah, baby.", AUIOE Marcus Brigstocke 92 Jacquizz Rodgers 90 Mauri Rose 90 Kalu Rinpoche 85 Austin Roberts 84
AUOEI,Paul O'Neill,https://en.wikipedia.org/wiki/Paul_O%27Neill_(baseball),Yankees/Reds right fielder,"Five World Series rings clinch the win for baseball player <b>Paul O'Neill</b> over the eponymous Treasury Secretary. Now, for a good time, add an I and rearrange to form a manager he played for (also a Yankee great). Can you get it?", AUOEI Jakub Kornfeil 97 Paul O'Neill 92 Baruch Goldstein 90 Raul Mondesi 88 Arthur Rothstein 87
AUOIE,Paul Scofield,https://en.wikipedia.org/wiki/Paul_Scofield,"Best Actor Oscar 1968, <i>A Man for All Seasons</i>","Primarily known as a Shakespearean stage actor, <b>Paul Scofield</b> was a rare winner of the prestigious Triple Crown of Acting—a competitive Oscar, Tony, and Emmy® for performing.", AUOIE Paul Scofield 98 Arthur Blomfield 96 Paul Horbiger 96 Paul Poiret 94 Paul Collier 88
EAIOU,Len Cariou,https://en.wikipedia.org/wiki/Len_Cariou,"1979 Best Actor Tony, <i>Sweeney Todd</i>","1979 was quite the year for supervocalics on Broadway, with both <b>Len Cariou</b> and <b>Patti LuPone</b> winning acting awards. And a certain supervocalic musical was well on its way to becoming the longest-running musical of all time. What is it? (Hint: it's an anagram of an actor who appears in this list!)", EAIOU Len Cariou 97 Screaming Lord Sutch 96 Erdal Inonu 87 Heathcliff Slocumb 73 Edward Riou 72
EAIUO,Benazir Bhutto,https://en.wikipedia.org/wiki/Benazir_Bhutto,Former Pakistani prime minister,"One of two female former heads of state on our list, <b>Benazir Bhutto</b> was ousted in a military coup and met a tragic end.", EAIUO Benazir Bhutto 100 Benjamin McCulloch 94 Efraim Zuroff 90 Benjamin Luxon 83 Benjamin H. D. Buchloh 72 Benjamin Button
EAOIU,Epaphroditus,https://en.wikipedia.org/wiki/Epaphroditus,Early Christian figure,"A New Testament figure considered a saint, <b>Epaphroditus</b> may have been the arbiter called upon by Paul to intervene between <b>Eudoia</b> and Syntyche, in their dispute clearly about Y-abuse.", EAOIU Deacon Chiu 53 Petar Omcikus 50 Stefan Coidum 40 Herman Tollius 36 Fernando Picun 34
EAOUI,Jehan Cousin,https://en.wikipedia.org/wiki/Jean_Cousin_(navigator),French Normand navigator,"Having sailed to Brazil in 1488, one of his captains subsequently joined Columbus to show him the way to the Americas... Also of note is costume designer <b>Jean Louis</b>, with a résumé including 14 Oscar® noms and Marilyn Monroe's ""Happy Birthday, Mr. President"" dress. They don't get much more ""notable"" than that.", EAOUI Jean Moulin 96 Fernando Chui 86 Jean Louis 84 Sean McLoughlin 80 Chesa Boudin 76
EAUIO,Earl Hutchinson,https://en.wikipedia.org/wiki/Earl_Ofari_Hutchinson,US social commentator,"The well-known African American journalist generally uses his middle name, Ofari, but even without it tops former Pittsburgh Pirates GM <b>Neal Huntington</b>.", EAUIO Greg Aquino (MLB) Ben Matulino 87 Neal Huntington 86 Edward Hutchinson 78 Beau Mirchoff 74 (actor) Jean Guitton 73 Renaud Dion (Fr cyclist) Erma Duricko (US Theater Dir)
EAUOI,Bela Lugosi,https://en.wikipedia.org/wiki/Bela_Lugosi,Hungarian born horror actor,"Hungarian-born Béla Ferenc Dezső Blaskó, was a horror mainstay, appearing in the supervocalic <b>Genius at Work</b>, but often played second billing to Boris Karloff, to his chagrin.", EAUOI Bela Lugosi 100 Jenna Ushkowitz 94 Les AuCoin 91 Erastus Corning 89 Erastus Corning 2nd 88
EIAOU,Neil Mallon Bush,https://en.wikipedia.org/wiki/Neil_Bush,"US businessman, son of Pres. Bush 41","Edging out Lebanese President <b>Émil Lahoud</b>, but only because his name is more commonly spelled ""Émile""."," EIAOU Eric Balfour 90 Wei Zhaodu 82 Ferdinand Mount 81 Jessica Stroup 81 Levi Casboult 76 Erica Chong Shuch, Neil Mallon Bush, Ken Chiampou (John & Ken Show), Edith Pattou (YA author), Meni Mazouz (Isr AG)"
EIAUO,Neil Cavuto,https://en.wikipedia.org/wiki/Neil_Cavuto,"TV personality, Fox News","If you live in <b>the big ol' USA</b>, <b>Neil Cavuto</b> has been on your TV regularly since 1996. This one time, he stood up to President Trump, so that's something positive we can say about this Fox News anchor. ", EIAUO Felix Hausdorff 94 Bettina Fulco 85 Erik Paulson 84 Neil Cavuto 83 Kevin McNaughton 80
EIOAU,Keith Godchaux,https://en.wikipedia.org/wiki/Keith_Godchaux,Grateful Dead keyboardist,"Posthumous Rock and Roll Hall of Fame inductee, 1994.", EIOAU Keith Godchaux 94 Edwin Montagu 81 Sebino Plaku 81 Deiotarus 74 Elliot Paul 74
EIOUA,Keith Douglas,https://en.wikipedia.org/wiki/Keith_Douglas,UK poet,Killed during invasion of Normandy., EIOUA Kenjiro Tsuda 89 Keith Douglas 84 Denis Coughlan 81 Kenji Nomura 81 Eric Douglas 79
EIUAO,Sverrir Gudnason,https://en.wikipedia.org/wiki/Sverrir_Gudnason,Scandinavian actor,"This Swedish/Icelandic actor played Björn Borg opposite Shia LeBeouf in <i>Borg vs McEnroe</i>. Interesting, though not nearly as much as the sci-fi epic <i>The Borg vs. McEnroe</i> would be. (Both an outside and inside joke.) And yes, we deliberately called Iceland ""Scandinavian"" to trigger you, you persnickety detailmonger.", EIUAO Henrik Gustafsson 85 Denis Glushakov 80 Erik Gudbranson 77 Erik Hurtado 71 Sverrir Gudnason 71
EIUOA,Edith Tudor-Hart,https://en.wikipedia.org/wiki/Edith_Tudor-Hart,European photographer and spy,<b>Edith Tudor-Hart</b> was a photographer who studied at the Bauhaus school with <b>Walter Gropius</b> and became a Soviet spy. Rule #1: Never trust a comely Bauhaus photographer on the Continent between World Wars., EIUOA Eric Butorac 97 Mei Quong Tart 68 Sergiu Toma 58 (Judo) Edith Tudor-Hart 56 (Spy) Felix Ulloa 48
EOAIU,Leonard Whitcup,https://www.nytimes.com/1979/04/10/archives/leonard-whitcup-75-lyricist-composer-of-i-am-an-american.html,US composer,"No disrespect to Mr. Whitcup, who wrote numerous tunes for Perry Como, but the EOAIU slot was not an easy one to fill.", EOAIU Georg Calixtus 59 Georg Sabinus 45 Kjell Oscarius 43 Bengt Oscarius 41 Devon Martinus 40
EOAUI,Leonard Susskind,https://en.wikipedia.org/wiki/Leonard_Susskind,US physicist,One of the fathers of string theory., EOAUI Leonard Susskind 93 Eoghan Quigg 81 Leo Rautins 81 Elonka Dunin 75 Eto Nabuli 74
EOIAU,Leonid Kravchuk,https://en.wikipedia.org/wiki/Leonid_Kravchuk,First president of independent Ukraine,One of many supervocalic heads of state on our list. One of two from Ukraine., EOIAU Leonid Kravchuk 95 Veronica Hurst 65 Eroni Sau 61 Georgia Ku 57 Nepotianus 52
EOIUA,Leonid Kuchma,https://en.wikipedia.org/wiki/Leonid_Kuchma,2nd president of independent Ukraine,"Second back to back Ukrainian president. The pattern would not continue from here, as subsequent presidents would drop the ball.", EOIUA Leonid Kuchma 99 Kengo Kimura 83 Benoit Puga 80 Benoit Jutras 74 Keston Hiura 60
EOUAI,Greg Louganis,https://en.wikipedia.org/wiki/Greg_Louganis,US diver,There are no contenders with the Olympic gold medalist in the Notability department for EOUAI., EOUAI Greg Louganis 96 Veljko Bulajic 88 Enzo Stuarti 74 Ben Fountain 71 Edouard Fritch 71
EOUIA,Fred Louis Wham,https://en.wikipedia.org/wiki/Fred_Louis_Wham,US district judge,"We otherwise would not include a regional judicial official appointed by Calvin Cooldge, but the name—how to account for it? Might George Michael and Andrew Ridgeley have been inspired his jurisprudence? We may never know."," EOUIA Hector Guimard 96 Elton Julian 90 Leon Sullivan 85 Hector Chumpitaz 84 Brendon Julian 70 Fred Louis Wham - US federal judge, Nelson Sullivan (early NY 80s videographer), ""Vernon Sullivan"" pseudonym"
EUAIO,Deucalion,https://en.wikipedia.org/wiki/Deucalion,Greek mythical figure,"While his father stole some fire he shouldn't have, Prometheus' son <b>Deucalion</b> had a daughter named Pandora, making him... the father of streaming music? Or something. We're working on it.", EUAIO Edmund Campion 96 Steuart Wilson 86 Geuvanio 78 Tequan Richmond 78 Ehud Shapiro 77
EUAOI,Beulah Bondi,https://en.wikipedia.org/wiki/Beulah_Bondi,"US actress, <i>It's a Wonderful Life</i>","The Oscar-nominated, Emmy-winning actress actually played Jimmy Stewart's mother in four—count 'em: <i>four</i>—movies. Quite a fortuitous niche, considering Stewart's wholesome image.", EUAOI Beulah Bondi 91 Keturah Orji 80 Edmund Arrowsmith 69 DeJuan Collins 62 Edmund Zagorski 61
EUIAO,Edmund Richardson,http://law2.umkc.edu/faculty/projects/ftrials/haywood/HAY_BRIC.HTM,US attorney,"Here we refer to the Clarence Darrow frenemy, not the plantation owner of the same name. From one of his summations: <i>""Would you rather believe this man on the stand, wearing his cheap bravado and putting obloquy upon those who are innocent, or this husand and father, an exemplary citizen all of his life?""</i>—good stuff.", EUIAO Greg Puciato 90 Lev Kulidzhanov 77 Fred Ruiz Castro 69 Tetsuji Kato 68 Megumi Sato 54
EUIOA,Greg Gugliotta,https://www.imdb.com/name/nm0346599/,US TV producer,"Maybe he'll win an Emmy and get this slot off the schneid. Which is apparently an uncapitalized acceptable dictionary entry for ""losing streak"", derived from German card game idioms about a ""poor tailor"" (German: <i>Schneider</i>). Just the etymological diversion this slot needed.", EUIOA Megumi Toda 41 Jesus Cintora 36 Fergus Riordan 31 Pleuni Mohlmann 21 Megumi Honda 13
EUOAI,Ferguson Darling,https://en.wikipedia.org/wiki/Clarissa_Explains_It_All,Character in <i>Clarissa Explains It All</i>,"The brother of Clarissa Darling may not seem slot-worthy, but consider that the previous ""winner"", Helmut Nodari, eked out a solitary 1961 IMDb listing. The EUOAI pattern was not conducive to names, apparently, with very few Festuses or Edmunds fitting the bill. Sometimes only a Helmut will fit.", EUOAI Cheung Po Tsai 76 Tetsu Komai 76 Melus of Bari 72 Meg Burton Cahill 38
EUOIA,Eudocia,https://en.wikipedia.org/wiki/Aelia_Eudocia,Byzantine Empress,"We welcome Byzantine Empress and Christian Saint <b>Eudocia</b>. Though regrettably we retire the previous slot-holder—creator of the written Cherokee alphabet—since his name, ᏎᏉᏯ, was apparently transliterated as ""Sequoyah"" in English. The ""Sequoia"" spelling came later when trees and other genuses were named. ", EUOIA Euforia 94 Etsuko Mita 80 Deng Zhuoxiang 79 He Guoqiang 74 Jesus Molina 62
IAEOU,Michael Okwu,https://en.wikipedia.org/wiki/Michael_Okwu,"US news correspondent, MSNBC/CNN","Okwu has to get the blurb so we can cite his legendary on-air observation: ""They're watching something that will obviously never be repeated again: Michael Jackson will only die once."" You can see this at 6:23 in <a href=""http://www.cc.com/video-clips/8mdqxe/the-daily-show-with-jon-stewart-the-rippy-awards-for-outstanding-achievement-in-obitutainment---crypts"">this <i>Daily Show</i> ""Rippy Awards"" clip</a>. Tony-winner <b>Michael Gough</b>—Alfred in four Batman movies—can't quite compete with that.", IAEOU Michael Gough 98 Brian Desmond Hurst 92 Michael Bourn 91 Linda Keough 79 Michael Mohun 72
IAEUO,Michael Musto,https://en.wikipedia.org/wiki/Michael_Musto,"NY columnist, <i>Village Voice</i>","<b>Niall Ferguson</b> has indeed passed Musto since the original list was made, certainly in gravitas and appearance of intellect. Musto's gossipy omnipresence, however, keeps him atop the slot.", IAEUO Niall Ferguson 99 Michael Dunlop 92 Michael Rudroff 91 Michael Musto 90 Michael Hudson 89
IAOEU,Pnina Rosenblum,https://en.wikipedia.org/wiki/Pnina_Rosenblum,Israeli model and politician,"We promote <b>Pnina Rosenblum</b>, over NHL goalie <b>Richard</b>""No Relation to Martin""<b>Brodeur</b>. His professional claim to fame was being the guy Wayne Gretzky scored on the most (29 times—the most anyone scored on anyone?) which definitely affords Ms. Rosenblum a win here.", IAOEU Crin Antonescu 80 Richard Brodeur 77 Ivan Kozhedub 75 Pnina Rosenblum 59 Ricardo Jesus 59
IAOUE,Dilma Rousseff,https://en.wikipedia.org/wiki/Dilma_Rousseff,Former Brazilian prime minister,"Regrettably, the female heads of state on our list have both come to ignominious ends, with Ms. Rousseff removed from office in 2016 by the Brazilian Senate.", IAOUE Dilma Rousseff 100 Brian Joubert 98 Ian Poulter 98 Mick Malthouse 95 Richard Bourke 91
IAUEO,Irmgard Flügge-Lotz,https://en.wikipedia.org/wiki/Irmgard_Flügge-Lotz,Pioneering female engineer,"We celebrate trailblazing engineer and first team all-namer <b>Irmgard Flügge-Lotz</b>. If you're gonna Flüg, we always say, Flügge-Lotz. <b>Ivan Rutherford</b> has apparently played Jean Valjean in <i>Les Misérables</i> over 2,000 times. Why that doesn't get him a Wikipedia page we aren't sure.", IAUEO Brian Culbertson 85 Linda Hutcheon 80 Linda Tuero 80 Immanuel Bloch 65 Irmgard Flugge-Lotz 65
IAUOE,Ita Buttrose,https://en.wikipedia.org/wiki/Ita_Buttrose,Australian media executive,"<b>Ita Buttrose</b>—an Australian Helen Gurley & Tina Brown rolled into one—takes this slot over our previous best, NZ stock-car racer <b>Brian Musgrove</b>.", IAUOE Ita Buttrose 88 Richard Usborne 81 Richard Dunthorne 61 Niklaus Troxler 50 Richaun Holmes 50 (NBA)
IEAOU,Michel Aoun,https://en.wikipedia.org/wiki/Michel_Aoun,Current Lebanese president (2020),"Returned from exile since the writing of the original article, one of two Lebanese heads of state we mention, along with also-ran <b>Émil(e) Lahoud</b>. We do recognize that ""current Lebanese President"" is not one of the world's safer job descriptions.", IEAOU Michel Aoun 98 Michel Sardou 94 Mike Harcourt 88 Lisle Blackbourn 78 Milne Barbour 64
IEAUO,Birger Magnusson,"https://en.wikipedia.org/wiki/Birger,_King_of_Sweden",13th-century Swedish king,"Of the House of Bjelbo, yet another head of state.", IEAUO Gisela Dulko 95 (#1 doubles tennis) Michel Aumont 90 Mike Matusow 87 (poker) Bill Beaumont 82 (rugby) Micheal Spurlock 80
IEOAU,Wilhelm von Habsburg,https://www.telegraph.co.uk/culture/books/non_fictionreviews/3554371/All-Wilhelm-von-Habsburg-needed-was-a-kingdom.html,20th-century Austrian archduke,"Nicknamed ""The Red Prince"". A bit of a sad case, if you consider itinerant royalty sad."," IEOAU Mike Mottau 72 (NHL) Gideon Blackburn 50 Bibelot Mansur 43 (Mexican actress) Sizwe Motaung 39 (soccer) Pinkerton R. Vaughn 34 Wilhelm von Habsburg, Philemon Van Trump (first climbed Mt Rainier)"
IEOUA,Mike Douglas,https://en.wikipedia.org/wiki/Mike_Douglas,"US talk-show host, 1961–1982","The long-time favorite talk show host tops <b>Dinesh D'Souza</b>, whose incoherent political philosophy disqualifies him from serious consideration here. Actor <b>Diego Luna</b> will likely be a contender next time we update the list.", IEOUA Dinesh D'Souza 97 Mike Rotunda 97 Diego Luna 93 Mike Douglas 92 Mike Souchak 91
IEUAO,Sir Edmund Barton,https://en.wikipedia.org/wiki/Edmund_Barton,1st Australian prime minister (1901–03),"We don't have much interesting to say about Australia's first prime minister, <b>Sir Edmund Barton</b>, but as an initiating head of state, he is a ""blue chip"" supervocalic, thus atop his slot.", IEUAO Tien Hung-mao 53 Shigeru Kan-no 45 Christer Gustafsson 27 White Buffalo 25 Winner Jumalon 25
IEUOA,Ime Udoka,https://en.wikipedia.org/wiki/Ime_Udoka,NBA player and coach,"Our shortest two-word supervocalic, <b>Ime Udoka</b>'s unimpressive NBA career will be forgiven if he lands an NBA head coaching job. Losing out are horse racing Hall of Famer, <b>Winbert F. Mulholland</b>, and hot-rodder / name-favorite <b>Dick Megugorac</b>.", IEUOA Ime Udoka 78 Winbert F. Mulholland 70 Siegmund von Pranckh 45 Wilhelm Rudolf Mann 43 Dick Megugorac 40
IOAEU,Dion Phaneuf,https://en.wikipedia.org/wiki/Dion_Phaneuf,Canadian NHL All-Star,"Longtime NHL defenseman <b>Dion Phaneuf</b> wins out over entomologist <b>Fritz Konrad Ernst Zumpt</b>, who at 21 letters is the longest (and quite possibly only) four-word supervocalic name found in this exercise.", IOAEU Victor Hanescu 98 Dion Phaneuf 95 Christo van Rensburg 92 (tennis) Nicolaes Tulp 85 (Rembrandt subject) Rico Abreu 83
