vowels,name,link,subtitle,blurb,AskDmitri
IOAUE,Phil Donahue,https://en.wikipedia.org/wiki/Phil_Donahue,Long-time US talk show host,The venerable and earnest <b>Phil Donahue</b> takes the slot over Hollywood Golden Age actor <b>Victor Mature</b>., IOAUE Victor Mature 99 Phil Donahue 94 Finola Hughes 93 Fiona Bruce 93 Christoph Graupner 92
IOEAU,Christopher Markus,https://en.wikipedia.org/wiki/Christopher_Markus_and_Stephen_McFeely,"US screenwriter, <i>Avengers: Endgame</i>","Having scrivened much of the Marvel Cinematic Universe, <b>Christopher Markus</b> is—at the time of this writing—one of the two highest-grossing screenwriters of all time (tied with his writing partner)."," IOEAU Nicole Krauss 90 Bill Morneau 89 Violet Vanbrugh 82 Jim Rondeau 79 Kishore Sahu 79 (Indian actor), Christopher Markus (highest-grossing screenwriter ever - Avengers: Endgame)"
IOEUA,Christopher Durang,https://en.wikipedia.org/wiki/Christopher_Durang,US playwright,"Obie-winner Durang remains a favorite, as his <i>Beyond Therapy</i> describes what you just might require after too much time on this website. He tops Lutheran theologian <b>Christoph Ernst Luthardt</b>, our overall longest supervocalic at 22 letters.", IOEUA Kishore Kumar 100 Christopher Rungkat 98 Lino Ventura 95 Christopher Durang 89 Christopher Chulack 81 Christoph Ernst Luthart (22)
IOUAE,Rico Suave,https://en.wikipedia.org/wiki/Rico_Suave_(song),Title character in Gerardo's top-10 hit,"Yes, we know <b>Rico Suave</b> just means ""rich and smooth"", and yes we know that wasn't the shirtless guy's actual name—but you, me, and all of us thought it was, and given the other option for this slot was a 3rd-tier boy band singer... Rico Suave it is.", IOUAE Simon Buckmaster 91 Pirjo Muranen 79 Viktor Zubarev 71 Pirom Un-prasert 68 Simon Culhane 59
IOUEA,Minoru Genda,https://en.wikipedia.org/wiki/Minoru_Genda,Japanese WWII general,Planned the Pearl Harbor attack., IOUEA Fritz Houtermans 88 Minoru Genda 86 Ciro Guerra 83 Simon Muzenda 75 Victor Cuesta 74
IUAEO,Sigurd Anderson,https://en.wikipedia.org/wiki/Sigurd_Anderson,Norwegian-born South Dakota governor,"In a tough slot, a legitimate US governorship can get you a win. So it is with Sigurd Anderson, who came from the land of the ice and snow... to be governor of a place about as icy and snowy.", IUAEO Vinduja Menon 70 Sigurd Anderson 67 (SD Gov) Miggs Cuaderno 66 (Philippine Child Actor) Linus Arnesson 50 (AHL Hockey) Vishnu Raj Menon 37 (Mr. India)
IUAOE,Shin Upagote,https://en.wikipedia.org/wiki/Shin_Upagutta,Venerated Burmese <i>arahant</i>,"Like Catholic saints, arahants are venerated for specific purposes—in this case for protection from storms. Such beatification tops comers like <b>Sir Hugh Walople</b>, known for writing <b>Bildungsromane</b>, or coming-of-age novels."," IUAOE Shizuka Gozen 71 Dinusha Gomes 27 (Sri Lankan female Weightlifter) Vishnubhat Godse 27 (Indian Traveller 1800s) Niu Maosheng 12 (Chinese pol) Liu Bao-Cheng 7 Shin Upagote (Buddhist Storm God) Liskula Cohen (Model) Sir Stuart Rose (M&S CEO), Big Bubba Rogers (WWF), Sir Hugh Walpole"
IUEAO,Michu Meszaros,https://en.wikipedia.org/wiki/Michu_Meszaros,World-famous little person,"Some celebrities are welcome in any endeavor of trivia. <b>Michu</b> is such a celebrity. When we discovered his last name fit this otherwise uninspiring slot, we quickly upgraded to include him. Dream big in heaven, little man.", IUEAO Miguel Najdorf 96 Miguel Ramos 90 Miguel Sano 83 Miguel Castro 79 (MLB) Shinsuke Sato 69 Michu Meszaros
IUEOA,King Zu Geng of Shang,https://en.wikipedia.org/wiki/Zu_Geng_of_Shang,King of the Shang Dynasty,"Not <i>always</i> referred to exactly this way, but when he is, he's a ""Perfect 5"" - a 5-word supervocalic with one vowel per word.", IUEOA Miguel Borja 87 Miguel Torga 73 Miguel Rojas 61 Miquel Porta 60 Miguel Rosa 56 Miguel Rojas (MLB)
IUOAE,Linus Roache,https://en.wikipedia.org/wiki/Linus_Roache,"UK actor, <i>Wings of the Dove</i>",Actor <b>Linus Roache</b> over <b>nefarious</b> British priest <b>Titus Oates</b>. Quiz: <b>Linus Roache</b> has appeared in numerous movies and TV shows—but he could make anagrammatic history by appearing in what Tony and Pulitzer-winning musical?, IUOAE Titus Oates 94 Linus Roache 89 Sigurd Wongraven 70 Milburn Morante 65 Timur Mohamed 35
IUOEA,Wilbur Joseph Cash,https://en.wikipedia.org/wiki/W._J._Cash,"US author, <i>Mind of the South</i>",Another tough slot (not so many Wilburs or Sigmunds out there). But author W.J. Cash does come through., IUOEA Zigu Ornea 86 Tinus Osendarp 64 Dinu Cocea 44 Mitsuo Senda 41 Sigmund von Erlach 24
OAEIU,Dot da Genius,https://en.wikipedia.org/wiki/Dot_da_Genius,Hip-hop producer,"Armed with an EE degree and a cool name, Kid Cudi's producer <b>Dot da Genius</b> has made some dope tracks. Hopefully his future résumé will bear out his choice as slot-winner here.", OAEIU Horace Lindrum 87 Dot da Genius 80 Ronald Leigh-Hunt 76 Bjorn Afzelius 71 Joanne Liu 55
OAEUI,Constance Cummings,https://en.wikipedia.org/wiki/Constance_Cummings,Tony-winning British/American actress,"Propriety dictates we honor the 50-year stage and screen career of <b>Constance Cummings</b>, discovered by <b>Samuel Goldfish</b> aka Samuel Goldwyn. Not forgotten in the All-Name category is NFL linebacker <b>Vontaze Burfict</b>.", OAEUI Thomaz Bellucci 99 Johann Reuchlin 93 Vontaze Burfict 92 Constance Cummings 90 Song Chang-eui 88
OAIEU,Wolfgang Schivelbusch,https://en.wikipedia.org/wiki/Wolfgang_Schivelbusch,German cultural historian,"<b>Wolfgang Schivelbusch</b>, at 20 letters, is our longest known 2-word supervocalic name, earning him the slot over former US Rep. <b>O. Maxie Burns</b>, and UK tug-of-war Olympian <b>Thomas Swindlehurst</b>."," OAIEU Logan Whitehurst 73 Kwok Wai-keung 59 Jordann Pikeur 57 Lorraine Hunt 52 O. Maxie Burns (US Rep, GA) Joanie Stubbs (Deadwood char), Thomas Swindlehurst (UK Tug of War olympian), Wolfgang Schivelbush (Ger. author)"
OAIUE,Rosalind Russell,https://en.wikipedia.org/wiki/Rosalind_Russell,"US actress, 4-time Oscar nominee","Ms. Russell, whose four nods never won her an Oscar, wins the slot here over certain MLB Hall-of-Famer <b>Omar Vizquel</b>.", OAIUE Rosalind Russell 99 Omar Vizquel 97 Nora Swinburne 91 John Baptist Purcell 90 Tomas Cibulec 79
OAUEI,John Mauceri,https://en.wikipedia.org/wiki/John_Mauceri,"US conductor, arranger, musician","<b>John Mauceri</b> is a towering figure in modern music, unknown to many. Musical Director of <i>Candide</i> on Broadway, resurrector of the Hollywood Bowl orchestra, Grammy and Tony winner—he's a stealth superstar for the OAUEI slot. It was him or winless former PGA golfer <b>Omar Uresti</b>.", OAUEI John Mauceri 94 Olaus Petri 88 Oscar Ruggeri 88 Thomas Dunn English 82 Tomas Cubelli 82
OAUIE,Rosamund Pike,https://en.wikipedia.org/wiki/Rosamund_Pike,English actress,<b>Rosamund Pike</b> - Oscar-nominated for her performance in <i>Gone Girl</i> - is one of the inarguable supervocalic superstars who have come along since the writing of the original list., OAUIE Rosamund Pike 97 John Laurie 95 Donald Justice 87 Donald Currie 85 Donald Runnicles 85
OEAIU,Joe Zawinul,https://en.wikipedia.org/wiki/Joe_Zawinul,US jazz/fusion pianist,Almost 60 years of exploratory musical jams earns Weather Report's <b>Joe Zawinul</b> the otherwise hard-to-fill OEAIU slot., OEAIU Joe Zawinul 95 Robert Garrigus 90 Mordechai Gur 80 Pope Caius 70 Olegarius 69
OEAUI,Pope Paul VI,https://en.wikipedia.org/wiki/Pope_Paul_VI,Pope 1963–1978,"No serious competition for the Pope here, but then again he is infallible. Of course <b>Pope Paul I</b> and <b>Pope Paul IV</b> work as well, but they're not as well known.", OEAUI Pope Paul VI 100 Pope Paul IV 97 Ornella Muti 91 Moses Austin 87 Robert van Gulik 87
OEIAU,Robert Christgau,https://en.wikipedia.org/wiki/Robert_Christgau,US rock critic/writer,Rock critic <b>Robert Christgau</b> over Oscar-winner and isogram <b>Joe Schildkraut</b>? Take your pick., OEIAU Robert Christgau 100 Joseph Schildkraut 91 Roger Birnbaum 82 Scot Breithaupt 76 Robert Briffault 71
OEIUA,Cornelius Hackl,"https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",Character in <i>Hello Dolly!</i>,"A character played in the UK by <b>Tudor Davies</b> and originated in the US by Charles Nelson Reilly, who also starred in TV's <b><i>The Ghost and Mrs. Muir</i></b>.", OEIUA Chow Mei Kuan 92 Cornelius Grant 73 Lodewijk Bruckman 56 (Dutch magical realism painter) Cornelis Hulsman 53 Cornelius Carr 53 Cornelius Grant
OEUAI,Montezuma I,https://en.wikipedia.org/wiki/Moctezuma_I,Aztec ruler,"Second Aztec leader, who greatly expanded the Empire. Signing his full name—Moteuczomatzin Ilhuicamina—on official forms, must have involved a lot of stone engraving, perhaps leading to his famed desire for ""revenge"".", OEUAI Pope Urban VI 95 Moctezuma I 90 Pope Urban IV 90 Joe Kuharich 88 Pope Urban I 82
OEUIA,Robert Mulligan,https://en.wikipedia.org/wiki/Robert_Mulligan,US film  and TV director,"Oscar nominee for <i>To Kill a Mockingbird</i>, 1962 - and brother of actor Richard Mulligan (<i>Soap</i>, <i>Empty Nest</i>).", OEUIA Robert Kubica 99 Robert Guiscard 97 Jose Mujica 96 Robert Mulligan 93 Jose Zuniga 84
OIAEU,John Michael Plumb,https://en.wikipedia.org/wiki/Michael_Plumb,US equestrian Olympian,"<b>John Michael Plumb</b> may not be a household name, but he has appeared in more Olympiads than any other US Olympian (5—not including a boycotted 1980 Olympics), earning him a slot based on ""very cool accomplishment"".", OIAEU Motilal Nehru 92 Noni Hazlehurst 90 Polina Edmunds 89 (Olympic skater) Choi Tae-uk 83 Choi Jae-sung 80 Colin James Munn
OIAUE,Kommissar Hjuler,https://en.wikipedia.org/wiki/Kommissar_Hjuler,German sound and visual artist,"It only seemed fair that if you read this far, you should get the fruits of the Beyond Wordplay deep dive, leading to such discoveries as neo-dada artist <b>Kommissar Hjuler</b> (born Detlev Hjuler) and his wife Mama Baer. Enjoy.", OIAUE Oti Mabuse 90 Gopinath Munde 87 Sonia Kruger 87 Kommissar Hjuler 82 Monica Hughes 77
OIEAU,Oliver Warbucks,https://en.wikipedia.org/wiki/Daddy_Warbucks,"""Daddy"" Warbucks from Annie","The Depression-era tycoon with a heart of gold has become a smooth-headed icon, played by notables from Albert Finney to Jamie Foxx."," OIEAU Robbie Paul 89 Oliver Grau 85 John Prideaux 76 Donnie Dacus 72 Oliver Kraus 71 Floribert Ndjabu (DRC pol) Oliver Warbucks ('Daddy'), Olive Anne Burns (wrote Cold Sassy Tree)"
OIEUA,Robin Ventura,https://en.wikipedia.org/wiki/Robin_Ventura,"MLB 3rd baseman, 1989–2004","Had a solid 16-year major league career mainly with the White Sox and Mets, and was one of the top 3rd basemen of his era. He's 3rd on the all-time supervocalic home run list.", OIEUA Robin Ventura 96 Robin Eubanks 87 Collins Mbesuma 85 Scottie Upshall 85 Orville L. Hubbard 82
OIUAE,Holli Ugalde,https://hellskitchen.fandom.com/wiki/Holli_Ugalde,"TV chef, Hell's Kitchen winner","Atop our OIUAE slot, we meet Gordon Ramsay-approved TV chef <b>Holli Ugalde</b>. We could do worse. Especially, given the other choices include a Czech-currency designer and an Uzbekistani soccer player.",OIUAE Fozil Musaev 70 Choi Mu-bae 60 Choi Sung-jae 47 John Finucane 47 Oldrich Kulhanek (Czech currency designer) 37 Holli Ugalde (chef/Hell's Kitchen winner)
OIUEA,Xochiquetzal,https://en.wikipedia.org/wiki/Xōchiquetzal,Aztec goddess of fertility,"In the pantheon of supervocalic discoveries,<b>Xochiquetzal</b> reigns supereme. She is the embodiment of the Divine Feminine and all it represents. Like a true goddess, she nurtures—welcoming not only all vowels, but high-scoring Scrabble tiles J,Q, and X which others find ""difficult"". And she does this in one solid word, without repeating a letter, leading with the rare and sultry ""X""—all as if to say ""I got this"". The supervocalic Mother Goddess, watches over the mortal <b>Montezuma I</b>.", OIUEA Rossif Sutherland 80 Shoji Ueda 75 Corin Curschellas 73 Moritz Gudemann 68 Florin Prunea 62 Xochiquetzal - Aztec goddess of fertility
OUAEI,Douglas Leigh,https://en.wikipedia.org/wiki/Douglas_Leigh,Urban installation visionary,"<b>Douglas Leigh's</b> ""urban installations"", are some of the most enduring concepts of the 20th century. He personally oversaw the transformation of Times Square into a nocturnal neon extravangza (once owning One Times Square, where the ball drops on New Year's Eve), and came up with the idea to light the Empire State Building red, white, and blue during the bicentennial, starting a grand tradition. Now, that's a light bulb of an idea.", OUAEI Douglas Feith 80 Jourdan Lewis 80 Joshua Ferris 75 Mourad Meghni 72 Douglas Evill 70
OUAIE,Count Basie,https://en.wikipedia.org/wiki/Count_Basie,Legendary US band leader,"A towering figure of 20th-century music, <b>Count Basie</b>'s blend of jazz, big band, and ""uptown swing"" had as much cultural impact as any supervocalic.", OUAIE Count Basie 100 Douglas Wilder 95 Doug Aitken 94 Douglas Niles 91 Douglas Wilmer 89
OUEAI,Zhou Enlai,https://en.wikipedia.org/wiki/Zhou_Enlai,First Chinese premier,"The first Chinese head of government under Mao, from 1949 thru 1976 he was responsible for developing the Chinese economy. As Foreign Minister from 1949 thru 1958, he advocated peaceful coexistence with the West. Orchestrated Nixon's 1972 trip to China.", OUEAI Zhou Enlai 100 Mouse Davis 85 John Urpeth Rastrick 81 Foued Kadir 65 Zou Dehai 56
OUEIA,Sjoukje Dijkstra,https://en.wikipedia.org/wiki/Sjoukje_Dijkstra,Dutch figure skater,"With Gold at one Olympics, Silver at another, and 5 European championships, Dutch figure-skater <b>Sjoukje Dijkstra</b> brings some athletic prowess to the OUEIA slot.", OUEIA Poul Reichhardt 92 Sjoukje Dijkstra 81 Cobus Reinach 80 Hou Dejian 73 Lou Tseng-Tsiang 72
OUIAE,Louis Malle,https://en.wikipedia.org/wiki/Louis_Malle,French film director,"Feature filmmaker and <b>documentarist</b> who directed films in both French and English, including <i>Atlantic City</i>, <i>Pretty Baby</i>, and <i>Au Revoir les Enfants</i>. He garnered multiple nominations for Best Director and won the Venice Golden Lion Award twice.", OUIAE John Frusciante 100 Louis Malle 96 Dou Jiande 93 Louis Calhern 92 Louis McLane 92
OUIEA,Louis the Fat,https://encyclopedia2.thefreedictionary.com/Louis+the+Fat,12th-century French king,"His weight ultimately prevented him from joining the many battles he ordered waged against the encroaching Normans. His official bio was actually called <i>The Deeds of Louis the Fat</I>, and that was written by a close friend. But he was strong leader, and strong entry for the OUEIA slot. Among other French contributions, let us not forget designer <b>Louis Réard</b>, inventor of the bikini.", OUIEA Pontus Tidemand 94 Louis Menand 85 Louis Delmas 79 Louis Rhead 78 Louise Pratt 76
UAEIO,Gustav Weisskopf,https://en.wikipedia.org/wiki/Gustave_Whitehead,German-American aviation pioneer,"<b>Gustav Weisskopf</b> (later, Gustave Whitehead) needed either a better publicist, or a scolding for telling tales. He either conquered powered manned flight numerous times years before the Wright Brothers—leaving eyewitness but no photographic evidence—<i>or</i> repeatedly lied about the same along with supposed onlookers. His bio is a good read either way.", UAEIO Stuart Elliott 85 Gunnar Heinsohn 77 Gustaf Erikson 75 Susan Weddington 68 Gustave Miklos 66
UAEOI,Suzanne Collins,https://en.wikipedia.org/wiki/Suzanne_Collins,"US author, <i>The Hunger Games</i>",YA author <b>Suzanne Collins</b> is certainly one of the most commercially successful supervocalic people. So she probably only barely remembers writing the character <b>Ferguson Darling</b> on <i>Clarissa Explains It All</i>., UAEOI Suzanne Collins 92 Duane Bobick 84 Dunja Vejzovic 72 Luka Celovic 63 Duane Hopkins 62
UAIEO,Juan Diego,https://en.wikipedia.org/wiki/Juan_Diego,"Canonized Mexican native - ""San Diego""","The first indigenous Mexican saint, <b>Juan Diego</b>—born Cuauhtlatoatzin—is our 3rd Nahuatl entry. His visions of the Virgin of Guadeloupe became celebrated worldwide. The name ""Diego"" evolved from a family of names related to ""Jacob"" (San Diego < Santiago < Sancto Iacobo < Iacobo < Iakobos < Jacob > Iacobus > Iacomus > James).", UAIEO Juan Diego 94 Juha Mieto 81 Stuart H. Ingersoll 75 Ruban Nielson 69 Bubba Dickerson 68
UAIOE,Chuck Mangione,https://en.wikipedia.org/wiki/Chuck_Mangione,Grammy-winning jazz flugelhornist," Four decades after its release, not much feels quite as good as ""Feels So Good"" (#4, 1978). If only he had titled an album <b>Flugelhorn Magic</b>.", UAIOE Chuck Mangione 95 Stuart Immonen 91 Rhun ap Iorwerth 68 Stuart Gilmore 65 Ruarri Joseph 64
UAOEI,Putra of Perlis,https://en.wikipedia.org/wiki/Putra_of_Perlis,"""Supreme Head"" of Malaysia, 1960–65","<b>Putra of Perlis</b> was a Malaysian nobleman who was <i>Yang di-Pertuan Agong</i>—meaning ""Supreme Head"", or ""King""—of the Malaysian Federation from 1960 to 65, offering us another head of state—and a cool name.", UAOEI Lucas Foresti 89 Putra of Perlis 88 Luca Morelli 81 Luca Rossetti 73 Buba Corelli 71
UAOIE,Susan Brownmiller,https://en.wikipedia.org/wiki/Susan_Brownmiller,US feminist author,<b>Susan Brownmiller</b> was an early feminist voice speaking up against gender inequities that still confront us today. Had she been born a few decades earlier no doubt she would have been a <b>women's suffragist</b>., UAOIE Susan Oliver 95 Hugh Lawson White 93 Susan Brownmiller 88 Chua Soi Lek 84 Stuart Rossiter 83
UEAIO,Pudd'nhead Wilson,https://en.wikipedia.org/wiki/Pudd%27nhead_Wilson,Mark Twain character,<b><i>Pudd'nhead Wilson</i></b> is one supervocalic 19th-century novel that dealt honestly with the realities of slavery. Can you name another—even more famous?, UEAIO Bruce Davison 98 Ruben Dario 98 Jules Danilo 92 Bruce Davidson 90 Hubert Harrison 90
UEAOI,Hulett Carlson Smith,https://en.wikipedia.org/wiki/Hulett_C._Smith,Former West Virginia governor,"Sometimes a governorship is all you need to earn a slot. Such is the case with <b>Hullett Carlson Smith</b>. The West Virginia Democrat led a long life, and lives on here as a slot-winner.", UEAOI Bruce Gradkowski 90 NFL QB Gunter Schabowski 85 Ruben Amorim 80 Duke Lacroix 70 Jurgen Grabowski 70 Bruce Margolin (pot lawyer) Hulett Carlson Smith (WV Gov)
UEIAO,Lucretia Mott,https://en.wikipedia.org/wiki/Lucretia_Mott,19th-century activist,<b>Lucretia Mott</b> was an early and dedicated abolitionist and <b>women's suffragist</b>., UEIAO Lupe Fiasco 100 Lucretia Mott 96 Quentin Jackson 80 Luke Richardson 79 Ruben Limardo 77
UEIOA,Question Mark,https://en.wikipedia.org/wiki/%3F_and_the_Mysterians,Lead singer of The Mysterians,"Rudy Martinez, aka <b>Question Mark</b> (his legal name!), led a band of Mexican-American kids from Michigan, who landed the smash garage rock #1 hit ""96 Tears""... and that's about it. Nevertheless, a worthy entrant for the UEIOA slot.", UEIOA Guldeniz Onal 54 Shuhei Hotta 52 Shmuel Winograd 45 Ukweli Roach 36 Hussein Dokmak 23
UEOAI,Hubert Rostaing,https://en.wikipedia.org/wiki/Hubert_Rostaing,French musician,"Best known for playing clarinet in Django Reinhardt's quintet, <b>Hubert Rostaing</b> began in Algiers, made a name in Paris and scored numerous French films. You may have heard him on the score of Woody Allen's <i>Sweet and Lowdown</i>."," UEOAI Jules Romains 85 Rubel Hossain 84 Que Ngoc Hai 78 Rutherford Aris 71 Ruperto Chapi 70, Suresh Joachim (Professional record-breaker), Hubert Rostaing (Django Reinhardt clarinetist)"
UEOIA,Duke Robillard,https://en.wikipedia.org/wiki/Duke_Robillard,US rock and blues guitarist,"Longtime frontman for Rhode Island-based Roomful of Blues, which garnered multiple Grammy nominations. In 1974 they performed with fellow supervocalic <b>Count Basie</b>.", UEOIA Duke Robillard 87 Ruben Rochina 62 Luke Torian 60 Jure Obsivac 58 Gunther von Kirchbach 54
UIAEO,Judith Anderson,https://en.wikipedia.org/wiki/Judith_Anderson,EGOT-nominated actress,"Emigrated to America from Australia to become one of the most accomplished actresses of the 20th century. She was nominated for each of the EGOT awards, winning an Emmy and a Tony. More relevantly, she appeared in 1940's <b><i>All Through the Night</i></b>, for the rare <b>artist plus the work</b> pair.", UIAEO Curtis Granderson 97 Judith Anderson 97 Julian Lennon 97 Justin Masterson 95 Julia Lennon 88
UIAOE,Julia Roberts,https://en.wikipedia.org/wiki/Julia_Roberts,"US Actress—2001 Oscar, <i>Erin Brockovich</i>","The very definition of a modern movie star, her breakthrough film was known in some parts of the world as <i>Mujer Bonita</i>. One of four supervocalics nominated for Best <b>Supporting Actress</b>.", UIAOE Julia Gorges 100 Julia Roberts 100 Julian Cope 99 Julian Knowle 99 Julian Glover 96
UIEAO,Burrill Bernard Crohn,https://en.wikipedia.org/wiki/Burrill_Bernard_Crohn,"US doctor, named Crohn's disease","A gastroenterologist who identified the disease that bears his name. There are no cool musings on digestive distress, so we are left to wonder why the calf muscle is called the <b>gastrocnemius</b>.", UIEAO Justin Pearson 87 Justin Germano 86 Quinn Gleason 86 Lucile Watson 81 Squire Bancroft 81
UIEOA,Justin Leonard,https://en.wikipedia.org/wiki/Justin_Leonard,"US golfer, won 1997 British Open","<b>PGA Tour winner</b> should identify him pretty well. Another supervocalic PGA golfer, <b>Omar Uresti</b>, never won on tour.", UIEOA Justin Leonard 96 Guthrie Govan 94 Julie Sommars 84 Justine Ozga 83 Luis Mendoza 83
UIOAE,Luis Gonzalez,https://en.wikipedia.org/wiki/Luis_Gonzalez_(outfielder),MLB All-Star,"A 19-year MLB veteran whose series-winning Game 7 hit off of Mariano Rivera clinched the 2001 World Series for the Arizona Diamondbacks, He is the all-time supervocalic home run leader with 354.", UIOAE Junior Mance 96 Junior Parker 95 Junior Walker 94 Luis Gonzalez 93 Lupino Lane 89 Guido Fawkes
UIOEA,Julio Cesar,"https://en.wikipedia.org/wiki/Júlio_César_(football_goalkeeper,_born_1979)",Brazilian soccer goalie,"Our pick for UIOEA can do double duty. <b>Júlio César</b> was a superstar Brazilian soccer goalie, winning a World Cup in 2010. <b>Julio César</b> is also Spanish for ""Julius Caesar"", offering us another supervocalic world leader.", UIOEA Guido Pella 96 Julio Cesar 96 Guido Crepax 82 Julio Le Parc 82 (modern artist) Junior Eldstal 80 (soccer)
UOAEI,Junko Tabei,https://en.wikipedia.org/wiki/Junko_Tabei,Japanese mountain climber,"As the first woman to summit Mount Everest, <b>Junko Tabei</b> is the essence of supervocalic achievement. But are we to ignore <b>Bruno Mattei</b>—Italian director of many genres, including mondo, zombie, and nunsploitation?. We got you to say ""nunsploitation"". Twice, actually. Bet you didn't see that coming.", UOAEI Tudor Arghezi 98 (Romanian writer) Bruno Mattei 91 Rudolf Arnheim 90 Junko Tabei 78 Rudolf Jaenisch 76 (MIT scientist)
UOAIE,Luc Montagnier,https://en.wikipedia.org/wiki/Luc_Montagnier,French virologist,Won a 2008 Nobel Prize for discovery of human immunodeficiency virus (HIV). Creatied a stir in 2020 for claiming <b>the 'ronavirus</b> was man-made in a lab., UOAIE Juho Hanninen 96 Luc Montagnier 94 Rudolph Cartier 92 Just Fontaine 89 Burton Malkiel 73
UOEAI,Hugo Weaving,https://en.wikipedia.org/wiki/Hugo_Weaving,Australian actor,"As Agent Smith in the <i>Matrix</i> films, and with roles in the <i>Lord of the Rings</i>, Marvel, and <i>Transformers</i> francihses, <b>Hugo Weaving</b> is surely among the highest-grossing actors of all time. He also appeared in <b><i>The Custodian</i></b> for the <b>artist plus the work</b> pair.", UOEAI Hugo Weaving 98 Hugo del Carril 81 Hugo de Garis 73 Hugo Bernatzik 62 Rudolph E. Tanzi 59
UOEIA,Juno Regina,https://en.wikipedia.org/wiki/Juno_(mythology)#Juno_Regina,Queen of Roman goddesses,"Juno was the patron goddess of Rome, overseeing the city through Kingdom, Empire, and <b>Roman Republic</b> eras. While she had other epithets, <b>Juno Regina</b> indicates her status as Queen of the Gods.", UOEIA Hugo Weisgall 84 Luo Wen-jia 48 Guo Zhenqian 39 Rudolf V. Perina 36
UOIAE,Udonis Haslem,https://en.wikipedia.org/wiki/Udonis_Haslem,"NBA veteran, Miami Heat","A fringe college basketball player when the original list was compiled, we were just happy to discover <b>Udonis Haslem</b> to fill the UOIAE slot. Now, a seasoned NBA veteran, he is in his 17th season with one club—the Miami Heat.", UOIAE Udonis Haslem 89 Rudolf Kirchschlager 82 Ljubomir Vranjes 62 (Serbian Handball Coach) Ludovit Rajter 56 Rudolf Kingslake 46
UOIEA,Hugo Riemann,https://en.wikipedia.org/wiki/Hugo_Riemann,German music theorist,"Though difficult to choose between the various Hugos and Rudolfs vying for this slot, <b>Hugo Riemann</b>'s hypothesis of functional harmony led to his creation of the terms ""tonic"", ""dominant"", and ""subdominant"", which are still used today.", UOIEA Rudolf Spielmann 85 (Chess) Udo Zimmermann 84 Rudolf Biebrach 83 Hugo Riemann 80 Justo Sierra 78 Bud Podbielan (MLB)